Team,Week 1,Team,Week 2,Team,Week 3,Team,Week 4,Team,Week 5,Team,Week 6,Team,Week 7,Team,Week 8,Team,Week 9,Team,Week 10,Team,Week 11,Team,Week 12,Team,Week 13,Team,Week 14,Team,Week 15,Team,Week 16,Team,Week 17
Georgia State,0,Kansas,0,Kansas State,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Tech,0,Louisville,0,Maryland,0,Louisville,0,Maryland,0,Miami (OH),0,Miami (OH),0,Miami (OH),0,Michigan State,0,Michigan State,0,Middle Tennessee,0,Miami (OH),0
Georgia Tech,0,Kansas State,0,Kent State,0,Louisiana Tech,0,Louisiana Tech,0,Louisville,0,Marshall,0,Miami,0,Marshall,0,Miami,0,Michigan State,0,Michigan State,0,Michigan State,0,Middle Tennessee,0,Middle Tennessee,0,Mississippi State,0,Michigan State,0
Hawai'i,0,Kent State,0,Liberty,0,Louisville,0,Louisville,0,Marshall,0,Maryland,0,Miami (OH),0,Maryland,0,Miami (OH),0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Mississippi State,0,Mississippi State,0,Missouri,0,Middle Tennessee,0
Illinois,0,Liberty,0,Louisiana,0,Marshall,0,Marshall,0,Maryland,0,Miami,0,Michigan State,0,Miami,0,Michigan State,0,Mississippi State,0,Mississippi State,0,Mississippi State,0,Missouri,0,Missouri,0,NC State,0,Mississippi State,0
Indiana,0,Louisiana,0,Louisiana Monroe,0,Maryland,0,Maryland,0,Miami,0,Miami (OH),0,Middle Tennessee,0,Miami (OH),0,Middle Tennessee,0,Missouri,0,Missouri,0,Missouri,0,NC State,0,NC State,0,Nebraska,0,Missouri,0
Kansas,0,Louisiana Monroe,0,Louisiana Tech,0,Miami,0,Miami,0,Miami (OH),0,Middle Tennessee,0,Mississippi State,0,Michigan State,0,Mississippi State,0,NC State,0,NC State,0,NC State,0,Nebraska,0,Nebraska,0,Nevada,0,NC State,0
Kansas State,0,Louisiana Tech,0,Louisville,0,Miami (OH),0,Miami (OH),0,Middle Tennessee,0,Missouri,0,Missouri,0,Middle Tennessee,0,Missouri,0,Nebraska,0,Nebraska,0,Nebraska,0,Nevada,0,Nevada,0,New Mexico,0,Nebraska,0
Kent State,0,Louisville,0,Marshall,0,Middle Tennessee,0,Middle Tennessee,0,Missouri,0,NC State,0,NC State,0,Mississippi State,0,NC State,0,Nevada,0,Nevada,0,Nevada,0,New Mexico,0,New Mexico,0,New Mexico State,0,Nevada,0
Liberty,0,Marshall,0,Miami,0,Missouri,0,Missouri,0,Navy,0,Nebraska,0,Nebraska,0,Missouri,0,Nebraska,0,New Mexico,0,New Mexico,0,New Mexico,0,New Mexico State,0,New Mexico State,0,North Carolina,0,New Mexico,0
Louisiana,0,Maryland,0,Miami (OH),0,NC State,0,NC State,0,NC State,0,Nevada,0,Nevada,0,NC State,0,Nevada,0,New Mexico State,0,New Mexico State,0,New Mexico State,0,North Carolina,0,North Carolina,0,Northern Illinois,0,New Mexico State,0
Louisiana Monroe,0,Miami (OH),0,Middle Tennessee,0,Nevada,0,Nevada,0,Nebraska,0,New Mexico,0,New Mexico,0,Nebraska,0,New Mexico,0,North Carolina,0,North Carolina,0,North Carolina,0,Northern Illinois,0,Northern Illinois,0,North Texas,0,North Carolina,0
Louisiana Tech,0,Middle Tennessee,0,Missouri,0,New Mexico,0,New Mexico,0,Nevada,0,New Mexico State,0,New Mexico State,0,Nevada,0,New Mexico State,0,Northern Illinois,0,Northern Illinois,0,Northern Illinois,0,North Texas,0,North Texas,0,Northwestern,0,Northern Illinois,0
Louisville,0,Missouri,0,Nevada,0,New Mexico State,0,New Mexico State,0,New Mexico,0,North Carolina,0,North Carolina,0,New Mexico,0,North Carolina,0,North Texas,0,North Texas,0,North Texas,0,Northwestern,0,Northwestern,0,Ohio,0,North Texas,0
Marshall,0,Nevada,0,New Mexico,0,North Carolina,0,North Carolina,0,New Mexico State,0,Northern Illinois,0,Northern Illinois,0,New Mexico State,0,Northern Illinois,0,Northwestern,0,Northwestern,0,Northwestern,0,Ohio,0,Ohio,0,Old Dominion,0,Northwestern,0
Maryland,0,New Mexico,0,New Mexico State,0,Northern Illinois,0,Northern Illinois,0,North Carolina,0,North Texas,0,North Texas,0,North Carolina,0,North Texas,0,Ohio,0,Ohio,0,Ohio,0,Old Dominion,0,Old Dominion,0,Ole Miss,0,Ohio,0
Miami (OH),0,New Mexico State,0,Northern Illinois,0,North Texas,0,North Texas,0,Northern Illinois,0,Northwestern,0,Northwestern,0,Northern Illinois,0,Northwestern,0,Old Dominion,0,Old Dominion,0,Old Dominion,0,Ole Miss,0,Ole Miss,0,Oregon State,0,Old Dominion,0
Middle Tennessee,0,Northern Illinois,0,North Texas,0,Northwestern,0,Northwestern,0,North Texas,0,Ohio,0,Ohio,0,North Texas,0,Ohio,0,Ole Miss,0,Ole Miss,0,Ole Miss,0,Oregon State,0,Oregon State,0,Pittsburgh,0,Ole Miss,0
Missouri,0,North Texas,0,Northwestern,0,Ohio,0,Ohio,0,Northwestern,0,Oklahoma State,0,Oklahoma State,0,Northwestern,0,Old Dominion,0,Oregon State,0,Oregon State,0,Oregon State,0,Pittsburgh,0,Pittsburgh,0,Purdue,0,Oregon State,0
Navy,0,Ohio,0,Ohio,0,Old Dominion,0,Old Dominion,0,Ohio,0,Old Dominion,0,Old Dominion,0,Ohio,0,Ole Miss,0,Purdue,0,Pittsburgh,0,Purdue,0,Purdue,0,Purdue,0,Rice,0,Pittsburgh,0
Nevada,0,Old Dominion,0,Old Dominion,0,Ole Miss,0,Ole Miss,0,Old Dominion,0,Ole Miss,0,Ole Miss,0,Oklahoma State,0,Oregon State,0,Rice,0,Purdue,0,Rice,0,Rice,0,Rice,0,Rutgers,0,Purdue,0
New Mexico,0,Ole Miss,0,Ole Miss,0,Oregon State,0,Oregon State,0,Ole Miss,0,Oregon State,0,Oregon State,0,Old Dominion,0,Pittsburgh,0,Rutgers,0,Rice,0,Rutgers,0,Rutgers,0,Rutgers,0,San José State,0,Rice,0
